"ApplicationId","ApplicationName","Publisher","SPName","ObjectId","Type","CreatedOn","Enabled","Owners","MemberOfGroups","MemberOfRoles","Verified","Homepage","PermissionType","Resource","Permission","ConsentedBy","ConsentType","ValidUntil"
"4cba1704-a0c1-45ee-9d41-fe75b4ef9190","TeamsChatServiceApp","Microsoft Services","TeamsChatServiceApp","00322224-157b-4bc9-a021-3a74fa6fd281","Application","10/21/2021 7:20 PM","True",,"","","Not verified",,,,,,,
"b861dbcc-a7ef-4219-a005-0e4de4ea7dcf","Data Export Service for Microsoft Dynamics 365","Microsoft Services","Data Export Service for Microsoft Dynamics 365","009079f1-e718-4636-8b30-00362bf321cc","Application","1/8/2021 6:40 PM","True",,"","","Not verified",,,,,,,
"92876b03-76a3-4da8-ad6a-0511ffdf8647","M365PurvieweDiscoveryInfra","Microsoft Services","ComplianceWorkbenchApp","00a9536a-7e4a-40f1-b1e4-041896948084","Application","1/8/2021 6:40 PM","True",,"","","Microsoft Corporation",,,,,,,
"01cb2876-7ebd-4aa4-9cc9-d28bd4d359a9","Device Registration Service","Microsoft Services","Device Registration Service","00fefe1f-64ef-4782-b060-429daa65ce39","Application","1/8/2021 6:42 PM","True",,"","","Not verified",,,,,,,
"bf4fa6bf-d24c-4d1c-8cfd-12063dd646b2","AADPremiumService","Microsoft Services","AADPremiumService","01102f30-3a07-4bd8-96a0-f4dc3b4c7665","Application","1/8/2021 6:40 PM","True",,"","","Not verified",,,,,,,
"4c8f074c-e32b-4ba7-b072-0f39d71daf51","IPSubstrate","Microsoft Services","IPSubstrate","0181be98-24bf-4d46-9d8d-fa015a706c9b","Application","1/8/2021 6:40 PM","True",,"","","Not verified",,,,,,,
"64a7b174-5779-4506-b54c-fbb0d80f1c9b","CMAT","Microsoft Services","CMAT","01d2e80c-7ed5-45c9-b8b9-16e140a67983","Application","12/19/2023 5:28 PM","True",,"","","Not verified",,,,,,,
"debdc750-47f1-4aac-ae5d-ea9b9c411db3",,,"SEEN-MFAMethods","01d8f767-6cb4-4692-a85c-20df72639e4c","ManagedIdentity","10/7/2024 9:38 PM","True",,"","","Not verified",,,,,,,
"19947cfd-0303-466c-ac3c-fcc19a7a1570","Azure DNS","Microsoft Services","Azure DNS","01e770df-a8fe-43d0-ba19-f23b1a7a3f06","Application","1/29/2021 3:14 PM","True",,"","","Not verified",,,,,,,
"8c420feb-03df-47cc-8a05-55df0cf3064b","Azure Update Manager","Microsoft Services","Azure Update Manager","02978fe7-03cc-4253-b407-e716535dcb5a","Application","4/2/2024 4:19 PM","True",,"","","Microsoft Corporation",,,,,,,
"3051c5d4-a04c-4d4f-b9a9-ae9f2c1bab57",,,"Members-MFA-Reset","030ad17a-b2e1-4e8f-869c-ef0b426fa85e","ManagedIdentity","11/17/2025 9:06 PM","True",,"","","Not verified",,"Application","Microsoft Graph","UserAuthenticationMethod.ReadWrite.All","An administrator (application permissions)","Admin consent",
"3051c5d4-a04c-4d4f-b9a9-ae9f2c1bab57",,,"Members-MFA-Reset","030ad17a-b2e1-4e8f-869c-ef0b426fa85e","ManagedIdentity","11/17/2025 9:06 PM","True",,"","","Not verified",,"Application","Microsoft Graph","User.Read.All","An administrator (application permissions)","Admin consent",
